episode_id,sensor_set,cluster_size,start_time_idx,end_time_idx,peak_time_idx,n_frames,duration_steps,peak_mean_abs_err,peak_max_abs_err,sensor_ids,sensor_names,sensor_indices,peak_timestamp,rank_score
0,732;853;1623,3,973,1078,1020,104,106,0.0946850478649139,0.1993769705295562,732;1623;853,UsCaSacramento732;UsCAKelseyville1623;UsSantaRosa853,12;89;27,2024-01-01 20:46:44,0.10888780504465098
1,730;757;1484,3,7045,7739,7611,75,695,0.0916922092437744,0.2227105647325515,730;1484;757,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757,11;81;17,2024-01-01 22:36:35,0.10544604063034055
2,757;1144;1382,3,5103,6109,5510,430,1007,0.0888160690665245,0.2249826192855835,757;1382;1144,UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,17;66;57,2024-01-01 22:01:34,0.10213847942650317
3,730;757;1484,3,6859,6890,6882,13,32,0.0875347256660461,0.2074320763349533,730;1484;757,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757,11;81;17,2024-01-01 22:24:26,0.10066493451595301
4,730;757;1144;1382,4,6515,6523,6520,5,9,0.0691165253520011,0.2370195239782333,730;757;1382;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,11;17;66;57,2024-01-01 22:18:24,0.08985148295760144
5,757;1144;1382;1644,4,5212,6033,5838,151,822,0.0683748498558998,0.2276115268468856,757;1644;1382;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;UsWaSpokane1144,17;93;66;57,2024-01-01 22:07:02,0.08888730481266974
6,757;1144;1382;1691,4,5842,6186,6114,75,345,0.0683514028787612,0.2056117802858352,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 22:11:38,0.08885682374238955
7,730;757;1144;1358;1382;1484,6,6246,6336,6334,20,91,0.0517785064876079,0.2347607463598251,730;1484;757;1382;1358;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;81;17;66;60;57,2024-01-01 22:15:18,0.08284561038017264
8,757;1144;1358;1382;1691,5,7546,8165,8115,111,620,0.0554388388991355,0.2129614353179931,757;1382;1691;1358;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;66;101;60;57,2024-01-01 22:44:59,0.08038631640374647
9,730;757;1358;1484;1496,5,7235,7247,7235,6,13,0.054972119629383,0.1861631125211715,730;1484;757;1496;1358,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaWsu1496;USWaBellingham1358,11;81;17;83;60,2024-01-01 22:30:19,0.07970957346260535
10,757;1496;1644,3,5217,5219,5217,3,3,0.0689463838934898,0.1855073720216751,757;1644;1496,UsMtMtu757;UsMtBillings1644;UsWaWsu1496,17;93;83,2024-01-01 21:56:41,0.07928834147751326
11,757;1144;1358;1382,4,7257,7734,7428,54,478,0.0603395514190197,0.1974765360355377,757;1382;1358;1144,UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,17;66;60;57,2024-01-01 22:33:32,0.07844141684472561
12,757;1144;1358;1382;1484;1644;1691,7,7802,7955,7843,15,154,0.0427125580608844,0.207072451710701,757;1644;1484;1382;1691;1358;1144,UsMtMtu757;UsMtBillings1644;UsNdMdudickinson1484;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;93;81;66;101;60;57,2024-01-01 22:40:27,0.0747469766065477
13,757;1144;1382,3,2067,3066,3007,113,1000,0.0313000082969665,0.0672051161527633,757;1382;1144,UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,17;66;57,2024-01-01 21:19:51,0.03599500954151147
14,757;871;1144;1382;1691,5,4614,4616,4616,2,3,0.0239376127719879,0.0665575042366981,757;1382;1691;871;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaCentralia871;UsWaSpokane1144,17;66;101;29;57,2024-01-01 21:46:40,0.03470953851938246
15,757;1144;1382,3,1180,1327,1274,19,148,0.0296316687017679,0.0671822056174278,757;1382;1144,UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,17;66;57,2024-01-01 20:50:58,0.034076419007033086
16,757;1144;1382;1691,4,861,979,916,39,119,0.0256784595549106,0.0431925505399704,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 20:45:00,0.033381997421383786
17,757;1144;1382,3,3656,4512,3749,176,857,0.0267594903707504,0.0515344440937042,757;1382;1144,UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,17;66;57,2024-01-01 21:32:13,0.030773413926362958
18,757;1144;1382;1644;1691,5,1518,1518,1518,1,1,0.0209529213607311,0.0331383682787418,757;1644;1382;1691;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;93;66;101;57,2024-01-01 20:55:02,0.030381735973060094
19,757;1144;1358;1382;1691,5,4799,4799,4799,1,1,0.0206935368478298,0.0392317660152912,757;1382;1691;1358;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;66;101;60;57,2024-01-01 21:49:43,0.030005628429353212
20,757;1144;1382;1691,4,689,738,734,13,50,0.0225521065294742,0.0395099036395549,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 20:41:58,0.02931773848831646
21,620;874;1059;1650,4,7833,7975,7862,44,143,0.020530292764306,0.0288347676396369,620;1059;1650;874,UsIlChicago620;UsIlGalesburg1059;UsIlSpringfield1650;UsWiDodgeville874,0;52;94;30,2024-01-01 22:40:46,0.026689380593597798
22,1144;1382;1691,3,51,2271,1987,854,2221,0.0231686402112245,0.0285845883190631,1144;1691;1382,UsWaSpokane1144;UsWaRichland1691;UsWaSpokane1382,57;101;66,2024-01-01 21:02:51,0.026643936242908173
23,757;1144;1382,3,3460,3525,3489,9,66,0.0221341643482446,0.0358503796160221,757;1382;1144,UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,17;66;57,2024-01-01 21:27:53,0.02545428900048129
24,859;1055;1491,3,6166,6333,6234,4,168,0.021625505760312,0.0315947979688644,859;1055;1491,UsCtUnivconn859;UsNjRedBank1055;UsDeMillsboro1491,28;50;82,2024-01-01 22:13:38,0.0248693316243588
25,1069;1071;2009,3,7260,7325,7269,47,66,0.0214512292295694,0.0314291715621948,1069;2009;1071,UsTnChattanoogaTVA1069;UsOhCleveland2009;UsTnKnoxville1071,54;104;55,2024-01-01 22:30:53,0.02466891361400481
26,1144;1358;1382,3,6688,7512,7017,22,825,0.0212811771780252,0.0234100613743066,1144;1382;1358,UsWaSpokane1144;UsWaSpokane1382;USWaBellingham1358,57;66;60,2024-01-01 22:26:41,0.02447335375472898
27,1367;1417;1425,3,6984,7013,6985,10,30,0.0212257038801908,0.0303858928382396,1367;1425;1417,UsMsGulfport1367;UsGaWhigham1425;UsGaValdosta1417,63;76;74,2024-01-01 22:26:09,0.02440955946221942
28,792;859;1055,3,3833,3842,3835,10,10,0.0211215671151876,0.0244874823838472,792;1055;859,UsVaHaymarket792;UsNjRedBank1055;UsCtUnivconn859,24;50;28,2024-01-01 21:33:39,0.02428980218246574
29,1055;1364;1491,3,3493,3615,3613,8,123,0.0207595136016607,0.0269800387322902,1055;1491;1364,UsNjRedBank1055;UsDeMillsboro1491;UsNyQueens1364,50;82;62,2024-01-01 21:29:57,0.023873440641909802
30,774;792;1491,3,409,441,415,11,33,0.0206487495452165,0.0284020043909549,774;1491;792,UsNjTomsriver774;UsDeMillsboro1491;UsVaHaymarket792,20;82;24,2024-01-01 20:36:39,0.023746061976998974
31,774;859;1055,3,1614,1628,1615,12,15,0.0202315002679824,0.0246792379766702,774;1055;859,UsNjTomsriver774;UsNjRedBank1055;UsCtUnivconn859,20;50;28,2024-01-01 20:56:39,0.023266225308179758
32,774;859;1364,3,4963,5179,5046,14,217,0.0201634000986814,0.0322244353592395,774;1364;859,UsNjTomsriver774;UsNyQueens1364;UsCtUnivconn859,20;62;28,2024-01-01 21:53:50,0.02318791011348361
33,774;1055;1364,3,7110,7137,7135,12,28,0.0201473180204629,0.0260349623858928,774;1364;1055,UsNjTomsriver774;UsNyQueens1364;UsNjRedBank1055,20;62;50,2024-01-01 22:28:39,0.023169415723532334
34,774;1491;1680,3,3898,3898,3898,1,1,0.0200191792100667,0.0262865237891674,774;1491;1680,UsNjTomsriver774;UsDeMillsboro1491;UsNcRaleigh1680,20;82;99,2024-01-01 21:34:42,0.023022056091576704
