episode_id,sensor_set,cluster_size,start_time_idx,end_time_idx,peak_time_idx,n_frames,duration_steps,peak_mean_abs_err,peak_max_abs_err,sensor_ids,sensor_names,sensor_indices,peak_timestamp,rank_score
0,732;853;1623,3,973,1078,1020,104,106,0.0946850478649139,0.1993769705295562,732;1623;853,UsCaSacramento732;UsCAKelseyville1623;UsSantaRosa853,12;89;27,2024-01-01 20:46:44,0.10888780504465098
1,730;757;1484,3,7045,7739,7611,75,695,0.0916922092437744,0.2227105647325515,730;1484;757,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757,11;81;17,2024-01-01 22:36:35,0.10544604063034055
2,757;1144;1382,3,5103,6109,5510,430,1007,0.0888160690665245,0.2249826192855835,757;1382;1144,UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,17;66;57,2024-01-01 22:01:34,0.10213847942650317
3,730;757;1484,3,6859,6890,6882,13,32,0.0875347256660461,0.2074320763349533,730;1484;757,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757,11;81;17,2024-01-01 22:24:26,0.10066493451595301
4,757;1144;1496,3,5619,5620,5619,2,2,0.0813789442181587,0.2194153517484665,757;1496;1144,UsMtMtu757;UsWaWsu1496;UsWaSpokane1144,17;83;57,2024-01-01 22:03:23,0.0935857858508825
5,732;853;1623;1715,4,1013,1013,1013,1,1,0.0716447830200195,0.1641974598169326,732;1715;1623;853,UsCaSacramento732;UsCaSandiego1715;UsCAKelseyville1623;UsSantaRosa853,12;103;89;27,2024-01-01 20:46:37,0.09313821792602536
6,730;757;1144;1382,4,6515,6523,6520,5,9,0.0691165253520011,0.2370195239782333,730;757;1382;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,11;17;66;57,2024-01-01 22:18:24,0.08985148295760144
7,757;1144;1358,3,7252,7539,7539,9,288,0.0775379166007042,0.2044518887996673,757;1144;1358,UsMtMtu757;UsWaSpokane1144;USWaBellingham1358,17;57;60,2024-01-01 22:35:23,0.08916860409080982
8,757;1144;1382;1644,4,5212,6033,5838,151,822,0.0683748498558998,0.2276115268468856,757;1644;1382;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;UsWaSpokane1144,17;93;66;57,2024-01-01 22:07:02,0.08888730481266974
9,757;1144;1382;1691,4,5842,6186,6114,75,345,0.0683514028787612,0.2056117802858352,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 22:11:38,0.08885682374238955
10,757;1144;1358,3,6908,6931,6931,7,24,0.0763046517968177,0.1915836930274963,757;1144;1358,UsMtMtu757;UsWaSpokane1144;USWaBellingham1358,17;57;60,2024-01-01 22:25:15,0.08775034956634034
11,757;1144;1358;1382,4,6683,7070,7032,56,388,0.0667727142572403,0.20450259745121,757;1382;1358;1144,UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,17;66;60;57,2024-01-01 22:26:56,0.08680452853441238
12,730;757;1144;1358;1382;1484;1644,7,6770,7521,6841,58,752,0.0495282933115959,0.2242043316364288,730;1644;1484;757;1382;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;93;81;17;66;60;57,2024-01-01 22:23:45,0.08667451329529283
13,730;757;1144;1358;1382;1484,6,6769,7647,7487,185,879,0.0529279075562953,0.2014704495668411,730;1484;757;1382;1358;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;81;17;66;60;57,2024-01-01 22:34:31,0.08468465209007248
14,730;757;970;1144;1358;1382;1484,7,7485,7485,7485,1,1,0.0482088290154933,0.2011489570140838,730;1484;970;757;1382;1358;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsSdRapidcity970;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;81;43;17;66;60;57,2024-01-01 22:34:29,0.08436545077711328
15,757;1144;1358;1382;1691,5,6355,6816,6746,67,462,0.0581803210079669,0.2186883389949798,757;1382;1691;1358;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;66;101;60;57,2024-01-01 22:22:10,0.084361465461552
16,730;757;1144;1484;1496,5,7606,7609,7606,2,4,0.0581317171454429,0.2104122340679168,730;1484;757;1496;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaWsu1496;UsWaSpokane1144,11;81;17;83;57,2024-01-01 22:36:30,0.0842909898608922
17,730;757;1144;1358;1382;1484,6,6246,6336,6334,20,91,0.0517785064876079,0.2347607463598251,730;1484;757;1382;1358;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;81;17;66;60;57,2024-01-01 22:15:18,0.08284561038017264
18,730;757;1144;1382;1484,5,7589,7630,7625,15,42,0.0570757314562797,0.2048840373754501,730;1484;757;1382;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,11;81;17;66;57,2024-01-01 22:36:49,0.08275981061160556
19,730;757;1144;1358;1484,5,6878,6878,6878,1,1,0.0566836968064308,0.1937517821788787,730;1484;757;1144;1358,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1144;USWaBellingham1358,11;81;17;57;60,2024-01-01 22:24:22,0.08219136036932466
20,757;1144;1382;1691,4,5682,5706,5703,13,25,0.0630307272076606,0.1986367404460907,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 22:04:47,0.08193994536995879
21,730;757;1144;1382,4,5758,5930,5894,6,173,0.0630200281739234,0.2118109464645385,730;757;1382;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,11;17;66;57,2024-01-01 22:07:58,0.08192603662610042
22,757;1144;1382;1644;1691,5,5673,5694,5676,15,22,0.0564376004040241,0.2203358262777328,757;1644;1382;1691;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;93;66;101;57,2024-01-01 22:04:20,0.08183452058583494
23,730;757;1144;1358;1382,5,6681,7144,7040,32,464,0.0562321431934833,0.2150147259235382,730;757;1382;1358;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;17;66;60;57,2024-01-01 22:27:04,0.08153660763055078
24,757;1144;1382;1691,4,6492,6537,6493,9,46,0.0620860755443573,0.1964043229818344,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 22:17:57,0.08071189820766449
25,757;1496;1644,3,5520,5520,5520,1,1,0.0699928402900695,0.1908854097127914,757;1644;1496,UsMtMtu757;UsMtBillings1644;UsWaWsu1496,17;93;83,2024-01-01 22:01:44,0.08049176633357992
26,757;1144;1358;1382;1691,5,7546,8165,8115,111,620,0.0554388388991355,0.2129614353179931,757;1382;1691;1358;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;66;101;60;57,2024-01-01 22:44:59,0.08038631640374647
27,757;1144;1382;1644;1691,5,5869,6169,6117,41,301,0.0554136335849761,0.2012348920106887,757;1644;1382;1691;1144,UsMtMtu757;UsMtBillings1644;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;93;66;101;57,2024-01-01 22:11:41,0.08034976869821533
28,730;757;1358;1484;1496,5,7235,7247,7235,6,13,0.054972119629383,0.1861631125211715,730;1484;757;1496;1358,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaWsu1496;USWaBellingham1358,11;81;17;83;60,2024-01-01 22:30:19,0.07970957346260535
29,757;1144;1382;1691,4,5269,5476,5470,41,208,0.0611388534307479,0.2002825886011123,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 22:00:54,0.07948050945997227
30,757;1496;1644,3,5217,5219,5217,3,3,0.0689463838934898,0.1855073720216751,757;1644;1496,UsMtMtu757;UsMtBillings1644;UsWaWsu1496,17;93;83,2024-01-01 21:56:41,0.07928834147751326
31,726;730;757;1144;1382;1484;1691,7,6206,6210,6207,5,5,0.0452199801802635,0.1865248084068298,726;1484;730;757;1382;1691;1144,UsNdMduwilliston726;UsNdMdudickinson1484;UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,10;81;11;17;66;101;57,2024-01-01 22:13:11,0.07913496531546112
32,757;1144;1382;1691,4,7557,7567,7557,7,11,0.0607737973332405,0.1864971965551376,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 22:35:41,0.07900593653321265
33,730;757;1144;1358;1382;1484;1644,7,6306,6317,6316,7,12,0.0449736081063747,0.2092979550361633,730;1644;1484;757;1382;1358;1144,UsMTMduglendive730;UsMtBillings1644;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;93;81;17;66;60;57,2024-01-01 22:15:00,0.07870381418615573
34,730;757;1144;1358;1382;1691,6,6261,6959,6758,51,699,0.0491602271795272,0.2130769491195678,730;757;1382;1691;1358;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,11;17;66;101;60;57,2024-01-01 22:22:22,0.07865636348724353
35,730;757;1144;1358;1382,5,6273,6327,6288,7,55,0.0541953817009925,0.2092493325471878,730;757;1382;1358;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;17;66;60;57,2024-01-01 22:14:32,0.07858330346643913
