episode_id,sensor_set,cluster_size,start_time_idx,end_time_idx,peak_time_idx,n_frames,duration_steps,peak_mean_abs_err,peak_max_abs_err,sensor_ids,sensor_names,sensor_indices,peak_timestamp,rank_score
0,757;1144,2,5578,5781,5728,12,204,0.1195269078016281,0.2274208217859268,757;1144,UsMtMtu757;UsWaSpokane1144,17;57,2024-01-01 22:05:12,0.1195269078016281
1,853;1623,2,974,1201,974,7,228,0.1133113056421279,0.1855305135250091,853;1623,UsSantaRosa853;UsCAKelseyville1623,27;89,2024-01-01 20:45:58,0.1133113056421279
2,757;1144,2,5101,5414,5209,12,314,0.1121342852711677,0.2151828706264495,757;1144,UsMtMtu757;UsWaSpokane1144,17;57,2024-01-01 21:56:33,0.1121342852711677
3,757;1144,2,8073,8073,8073,1,1,0.1089792549610138,0.2057894915342331,757;1144,UsMtMtu757;UsWaSpokane1144,17;57,2024-01-01 22:44:17,0.1089792549610138
4,730;757;1484,3,7045,7739,7611,75,695,0.0916922092437744,0.2227105647325515,730;1484;757,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757,11;81;17,2024-01-01 22:36:35,0.10544604063034055
5,730;757,2,7044,7181,7156,13,138,0.1039782240986824,0.183263674378395,730;757,UsMTMduglendive730;UsMtMtu757,11;17,2024-01-01 22:29:00,0.1039782240986824
6,757;1644,2,5521,5521,5521,1,1,0.1036672443151474,0.1978297680616378,757;1644,UsMtMtu757;UsMtBillings1644,17;93,2024-01-01 22:01:45,0.1036672443151474
7,730;757;1484,3,6859,6890,6882,13,32,0.0875347256660461,0.2074320763349533,730;1484;757,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757,11;81;17,2024-01-01 22:24:26,0.10066493451595301
8,730;757;1144;1382,4,6515,6523,6520,5,9,0.0691165253520011,0.2370195239782333,730;757;1382;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,11;17;66;57,2024-01-01 22:18:24,0.08985148295760144
9,757;1144;1382;1691,4,5842,6186,6114,75,345,0.0683514028787612,0.2056117802858352,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 22:11:38,0.08885682374238955
10,757;1144;1358;1382,4,6683,7070,7032,56,388,0.0667727142572403,0.20450259745121,757;1382;1358;1144,UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,17;66;60;57,2024-01-01 22:26:56,0.08680452853441238
11,730;757;1144;1358;1382;1484,6,6769,7647,7487,185,879,0.0529279075562953,0.2014704495668411,730;1484;757;1382;1358;1144,UsMTMduglendive730;UsNdMdudickinson1484;UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,11;81;17;66;60;57,2024-01-01 22:34:31,0.08468465209007248
